<?php  if (!defined('BASEPATH')) exit('No direct script access allowed'); ?>

INFO  - Sat Oct 25 0:00:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414195201.280180}
INFO  - Sat Oct 25 0:00:01 UTC 2014 --> ANDROID::PUSH Start at:: {12:00:01}
INFO  - Sat Oct 25 0:00:01 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000002 }

INFO  - Sat Oct 25 0:00:01 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:00:01 }<br/>
INFO  - Sat Oct 25 0:00:01 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.005965 }<br/>
INFO  - Sat Oct 25 0:01:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414195261.867505}
INFO  - Sat Oct 25 0:01:01 UTC 2014 --> ANDROID::PUSH Start at:: {12:01:01}
INFO  - Sat Oct 25 0:01:01 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000002 }

INFO  - Sat Oct 25 0:01:01 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:01:01 }<br/>
INFO  - Sat Oct 25 0:01:01 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.006883 }<br/>
INFO  - Sat Oct 25 0:02:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414195321.723600}
INFO  - Sat Oct 25 0:02:01 UTC 2014 --> ANDROID::PUSH Start at:: {12:02:01}
INFO  - Sat Oct 25 0:02:01 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000003 }

INFO  - Sat Oct 25 0:02:01 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:02:01 }<br/>
INFO  - Sat Oct 25 0:02:01 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.003900 }<br/>
INFO  - Sat Oct 25 0:03:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414195381.357099}
INFO  - Sat Oct 25 0:03:01 UTC 2014 --> ANDROID::PUSH Start at:: {12:03:01}
INFO  - Sat Oct 25 0:03:01 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000002 }

INFO  - Sat Oct 25 0:03:01 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:03:01 }<br/>
INFO  - Sat Oct 25 0:03:01 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.005922 }<br/>
INFO  - Sat Oct 25 0:04:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414195441.428330}
INFO  - Sat Oct 25 0:04:01 UTC 2014 --> ANDROID::PUSH Start at:: {12:04:01}
INFO  - Sat Oct 25 0:04:01 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000003 }

INFO  - Sat Oct 25 0:04:01 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:04:01 }<br/>
INFO  - Sat Oct 25 0:04:01 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.003767 }<br/>
INFO  - Sat Oct 25 0:05:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414195501.157963}
INFO  - Sat Oct 25 0:05:01 UTC 2014 --> ANDROID::PUSH Start at:: {12:05:01}
INFO  - Sat Oct 25 0:05:01 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000002 }

INFO  - Sat Oct 25 0:05:01 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:05:01 }<br/>
INFO  - Sat Oct 25 0:05:01 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.003008 }<br/>
INFO  - Sat Oct 25 0:06:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414195561.768778}
INFO  - Sat Oct 25 0:06:01 UTC 2014 --> ANDROID::PUSH Start at:: {12:06:01}
INFO  - Sat Oct 25 0:06:01 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000002 }

INFO  - Sat Oct 25 0:06:01 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:06:01 }<br/>
INFO  - Sat Oct 25 0:06:01 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.002924 }<br/>
INFO  - Sat Oct 25 0:07:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414195621.652204}
INFO  - Sat Oct 25 0:07:01 UTC 2014 --> ANDROID::PUSH Start at:: {12:07:01}
INFO  - Sat Oct 25 0:07:01 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000002 }

INFO  - Sat Oct 25 0:07:01 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:07:01 }<br/>
INFO  - Sat Oct 25 0:07:01 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.002807 }<br/>
INFO  - Sat Oct 25 0:08:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414195681.611477}
INFO  - Sat Oct 25 0:08:01 UTC 2014 --> ANDROID::PUSH Start at:: {12:08:01}
INFO  - Sat Oct 25 0:08:01 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000002 }

INFO  - Sat Oct 25 0:08:01 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:08:01 }<br/>
INFO  - Sat Oct 25 0:08:01 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.003036 }<br/>
INFO  - Sat Oct 25 0:09:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414195741.604800}
INFO  - Sat Oct 25 0:09:01 UTC 2014 --> ANDROID::PUSH Start at:: {12:09:01}
INFO  - Sat Oct 25 0:09:01 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000002 }

INFO  - Sat Oct 25 0:09:01 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:09:01 }<br/>
INFO  - Sat Oct 25 0:09:01 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.006069 }<br/>
INFO  - Sat Oct 25 0:10:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414195801.455396}
INFO  - Sat Oct 25 0:10:01 UTC 2014 --> ANDROID::PUSH Start at:: {12:10:01}
INFO  - Sat Oct 25 0:10:01 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000003 }

INFO  - Sat Oct 25 0:10:01 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:10:01 }<br/>
INFO  - Sat Oct 25 0:10:01 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.004294 }<br/>
INFO  - Sat Oct 25 0:11:02 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414195862.037748}
INFO  - Sat Oct 25 0:11:02 UTC 2014 --> ANDROID::PUSH Start at:: {12:11:02}
INFO  - Sat Oct 25 0:11:02 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000002 }

INFO  - Sat Oct 25 0:11:02 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:11:02 }<br/>
INFO  - Sat Oct 25 0:11:02 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.002945 }<br/>
INFO  - Sat Oct 25 0:12:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414195921.896914}
INFO  - Sat Oct 25 0:12:01 UTC 2014 --> ANDROID::PUSH Start at:: {12:12:01}
INFO  - Sat Oct 25 0:12:01 UTC 2014 --> ANDROID::PUSH Total Time::'{ Total Time:: 0.000004 }

INFO  - Sat Oct 25 0:12:01 UTC 2014 --> ANDROID::Cron START Time::'{ START Time:: 12:12:01 }<br/>
INFO  - Sat Oct 25 0:12:01 UTC 2014 --> ANDROID::Cron END Time::'{ TOTAL Time:: 0.003814 }<br/>
INFO  - Sat Oct 25 0:13:01 UTC 2014 --> ANDROID::Push Insertion Start at:: {1414195981.857785}
INFO  - Sat Oct 25 0:13:01 UTC 2014 --> ANDROID::PUSH Start at:: {12:13:01}
