<?php  if (!defined('BASEPATH')) exit('No direct script access allowed'); ?>

INFO  - Sun Oct 19 11:10:02 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Sun Oct 19 11:11:02 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Sun Oct 19 11:12:02 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Sun Oct 19 11:13:02 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Sun Oct 19 11:14:02 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Sun Oct 19 11:15:02 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Sun Oct 19 11:16:02 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Sun Oct 19 11:17:01 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Sun Oct 19 11:18:02 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Sun Oct 19 11:19:02 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Sun Oct 19 11:20:02 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Sun Oct 19 11:21:01 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Sun Oct 19 11:31:02 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Sun Oct 19 11:33:02 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Sun Oct 19 13:32:16 UTC 2014 --> Total Number Of iPhone Users::0

INFO  - Sun Oct 19 13:32:55 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Sun Oct 19 13:33:02 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Sun Oct 19 13:33:39 UTC 2014 --> Total Number Of iPhone Users::0

INFO  - Sun Oct 19 13:34:02 UTC 2014 --> Total Number Of iPhone Users::0

INFO  - Sun Oct 19 13:35:02 UTC 2014 --> Total Number Of iPhone Users::0

INFO  - Sun Oct 19 13:35:06 UTC 2014 --> Total Number Of iPhone Users::0

INFO  - Sun Oct 19 13:35:49 UTC 2014 --> Total Number Of iPhone Users::0

INFO  - Sun Oct 19 13:36:02 UTC 2014 --> Total Number Of iPhone Users::0

INFO  - Sun Oct 19 13:37:02 UTC 2014 --> Total Number Of iPhone Users::0

INFO  - Sun Oct 19 13:37:18 UTC 2014 --> Total Number Of iPhone Users::0

INFO  - Sun Oct 19 13:38:01 UTC 2014 --> Total Number Of iPhone Users::0

INFO  - Sun Oct 19 13:39:02 UTC 2014 --> Total Number Of iPhone Users::0

INFO  - Sun Oct 19 13:40:03 UTC 2014 --> Total Number Of iPhone Users::0

INFO  - Sun Oct 19 13:41:02 UTC 2014 --> Total Number Of iPhone Users::0

INFO  - Sun Oct 19 13:42:02 UTC 2014 --> Total Number Of iPhone Users::0

INFO  - Sun Oct 19 13:43:02 UTC 2014 --> Total Number Of iPhone Users::0

INFO  - Sun Oct 19 13:44:02 UTC 2014 --> Total Number Of iPhone Users::0

INFO  - Sun Oct 19 13:45:02 UTC 2014 --> Total Number Of iPhone Users::0

INFO  - Sun Oct 19 13:46:02 UTC 2014 --> Total Number Of iPhone Users::0

INFO  - Sun Oct 19 13:47:02 UTC 2014 --> Total Number Of iPhone Users::0

INFO  - Sun Oct 19 13:47:35 UTC 2014 --> Total Number Of iPhone Users::0

INFO  - Sun Oct 19 13:48:02 UTC 2014 --> Total Number Of iPhone Users::0

INFO  - Sun Oct 19 13:49:02 UTC 2014 --> Total Number Of iPhone Users::0

INFO  - Sun Oct 19 13:49:17 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Sun Oct 19 13:50:02 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Sun Oct 19 13:51:02 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Sun Oct 19 13:51:39 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Sun Oct 19 13:53:23 UTC 2014 --> Total Number Of iPhone Users::1

INFO  - Sun Oct 19 20:53:02 UTC 2014 --> Total Number Of iPhone Users::1

